|                                                                  |             |             |             |
|:-----------------------------------------------------------------|:------------|:------------|:------------|
| LN170 WERRINGTON JUNCTION TO FLYOVER EAST JUNCTION (VIA LINCOLN) |             |             |             |
| ROUTE SECTION                                                    | SX          | SO          | SUN         |
| Gainsborough Trent West                                          | Continuous  | Continuous  | Closed      |
| Junction (Exclusive) to Bessacarr                                |             |             |             |
| Junction                                                         |             |             |             |
| LN185 ALLINGTON WEST JUNCTION TO SKEGNESS                        |             |             |             |
| ROUTE SECTION                                                    | SX          | SO          | SUN         |
| Allington West Jn to Boston                                      | 0610 – 2310 | 0610 – 2310 | 0835 – 2135 |
| Boston to Skegness                                               | 0620 – 2156 | 0620 – 2156 | 0925 – 2125 |
| LN190 ALLINGTON EAST JUNCTION TO ALLINGTON NORTH JUNCTION        |             |             |             |
| (ALLINGTON CHORD)                                                |             |             |             |
| ROUTE SECTION                                                    | SX          | SO          | SUN         |
| Allington East Junction to Allington                             | 0515 – 2309 | 0515 – 2309 | 0905 – 2320 |
| North Junction                                                   |             |             |             |
| LN195 GRANTHAM NOTTINGHAM BRANCH JUNCTION TO ALLINGTON WEST JN   |             |             |             |
| (INCLUSIVE)                                                      |             |             |             |
| ROUTE SECTION                                                    | SX          | SO          | SUN         |
| Grantham Nottingham Jn to                                        | 0515 – 2305 | 0515 – 2305 | 0905 – 2320 |
| Allington West Junction                                          |             |             |             |
