|      |      |      |            |                       |                       |
|:-----|:-----|:-----|:-----------|:----------------------|:----------------------|
| Type | Days | TID  | Start Time | Origin                | Destination           |
| RHTT | WFO  | 3J77 | 02:46      | Carlisle Kingmoor SDG | Nunthorpe             |
|      |      |      |            | (DRS)                 |                       |
| RHTT | TTho | 3J77 | 02:46      | Carlisle Kingmoor SDG | Nunthorpe             |
|      |      |      |            | (DRS)                 |                       |
| RHTT | SU   | 3J77 | 10:18      | Carlisle Kingmoor SDG | Carlisle Kingmoor SDG |
|      |      |      |            | (DRS)                 | (DRS)                 |
| RHTT | MO   | 3J77 | 05:02      | Carlisle Kingmoor SDG | Nunthorpe             |
|      |      |      |            | (DRS)                 |                       |
| RHTT | TTho | 3J78 | 08:35      | Nunthorpe             | Carlisle Kingmoor SDG |
|      |      |      |            |                       | (DRS)                 |
| RHTT | MO   | 3J78 | 11:34      | Nunthorpe             | Carlisle Kingmoor SDG |
|      |      |      |            |                       | (DRS)                 |
| RHTT | WFO  | 3J78 | 08:35      | Nunthorpe             | Carlisle Kingmoor SDG |
|      |      |      |            |                       | (DRS)                 |
| RHTT | SO   | 3J78 | 08:36      | Nunthorpe             | Carlisle Kingmoor SDG |
|      |      |      |            |                       | (DRS)                 |
| RHTT | SU   | 3S10 | 23:52      | Doncaster West Yard   | York Thrall Europa    |
|      |      |      | 23:59      |                       |                       |
| RHTT | TThO | 3S11 | 04:07      | York Thrall Europa    | Sheffield             |
|      |      |      | 02:12      |                       |                       |
| RHTT | MWFO | 3S11 | 03:30      | York Thrall Europa    | Sheffield             |
|      |      |      | 01:50      |                       |                       |
| RHTT | SO   | 3S11 | 04:03      | York Thrall Europa    | Sheffield             |
|      |      |      | 02:00      |                       |                       |
| RHTT | MWFO | 3S12 | 07:27      | Sheffield             | Wrenthorpe Recp.      |
|      |      |      | 07:43      |                       |                       |
| RHTT | TThO | 3S12 | 06:48      | Sheffield             | Sheffield             |
|      |      |      | 07:43      |                       |                       |
| RHTT | SO   | 3S12 | 06:47      | Sheffield             | Sheffield             |
|      |      |      | 06:50      |                       |                       |
| RHTT | MWFO | 3S13 | 08:52      | Wrenthorpe Recp       | Grimsby Town          |
|      |      |      | 08:50      |                       |                       |
| RHTT | SO   | 3S13 | 09:08      | Sheffield             | Sheffield             |
| RHTT | TThO | 3S13 | 09:24      | Sheffield             | Woodburn Jn           |
|      |      |      | 09:26      |                       |                       |
| RHTT | TThO | 3S14 | 11:33      | Woodburn Jn           | Hull                  |
|      |      |      | 11:24      |                       |                       |
| RHTT | MWFO | 3S14 | 11:16      | Grimsby Town          | Bridlington           |
|      |      |      | 11:38      |                       | York Thrall Europa    |
| RHTT | MWFO | 3S14 | 11:16      | Grimsby Town          | Hull                  |
| RHTT | SO   | 3S14 | 11:48      | Sheffield             | Hull                  |
| RHTT | MWFO | 3S15 | 20:13      | Bridlington           | York Thrall Europa    |
| RHTT | SO   | 3S15 | 14:34      | Hull                  | York Thrall Europa    |
| RHTT | TThO | 3S15 | 15:19      | Hull                  | York Thrall Europa    |
| RHTT | MWFO | 3S15 | 18:35      | Hull                  | York Thrall Europa    |
| RHTT | SO   | 3S16 | 19:41      | York Thrall Europa    | Doncaster West Yard   |
| RHTT | SU   | 3S21 | 17:19      | York Thrall Europa    | Selby                 |
| RHTT | SX   | 3S21 | 16:46      | York Thrall Europa    | Selby                 |
| RHTT | SX   | 3S22 | 20:15      | Selby                 | Hall Royd Jct         |
| RHTT | SU   | 3S22 | 20:14      | Selby                 | Hall Royd Jct         |
| RHTT | SX   | 3S23 | 21:57      | Hall Royd Jct         | Leeds                 |
| RHTT | Su   | 3S23 | 22:02      | Hall Royd Jct         | Leeds                 |
| RHTT | SO   | 3S24 | 01:59      | Leeds                 | Leeds                 |
